"pixel3" "pixel8" "pixel13" "pixel18" "pixel23" "pixel28" "pixel33" "pixel38" "pixel43" "pixel48" "pixel53" "pixel58" "pixel63" "pixel68" "pixel73" "pixel78" "pixel83" "pixel88" "pixel93" "pixel98" "pixel103" "pixel108" "pixel113" "pixel118" "pixel123" "pixel128" "pixel133" "pixel138" "pixel143" "pixel148" "pixel153" "pixel158" "pixel163" "pixel168" "pixel173" "pixel178" "pixel183" "pixel188" "pixel193" "pixel198" "pixel203" "pixel208" "pixel213" "pixel218" "pixel223" "pixel228" "pixel233" "pixel238" "pixel243" "pixel248" "pixel253" "pixel258" "pixel263" "pixel268" "pixel273" "pixel278" "pixel283" "pixel288" "pixel293" "pixel298" "pixel303" "pixel308" "pixel313" "pixel318" "pixel323" "pixel328" "pixel333" "pixel338" "pixel343" "pixel348" "pixel353" "pixel358" "pixel363" "pixel368" "pixel373" "pixel378" "pixel383" "pixel388" "pixel393" "pixel398" "pixel403" "pixel408" "pixel413" "pixel418" "pixel423" "pixel428" "pixel433" "pixel438" "pixel443" "pixel448" "pixel453" "pixel458" "pixel463" "pixel468" "pixel473" "pixel478" "pixel483" "pixel488" "pixel493" "pixel498" "pixel503" "pixel508" "pixel513" "pixel518" "pixel523" "pixel528" "pixel533" "pixel538" "pixel543" "pixel548" "pixel553" "pixel558" "pixel563" "pixel568" "pixel573" "pixel578" "pixel583" "pixel588" "pixel593" "pixel598" "pixel603" "pixel608" "pixel613" "pixel618" "pixel623" "pixel628" "pixel633" "pixel638" "pixel643" "pixel648" "pixel653" "pixel658" "pixel663" "pixel668" "pixel673" "pixel678" "pixel683" "pixel688" "pixel693" "pixel698" "pixel703" "pixel708" "pixel713" "pixel718" "pixel723" "pixel728" "pixel733" "pixel738" "pixel743" "pixel748" "pixel753" "pixel758" "pixel763" "pixel768" "pixel773" "pixel778" "pixel783"
"1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 254 0 0 0 6 254 0 0 0 0 248 0 0 0 0 254 0 0 0 0 115 0 0 0 0 0 20 0 0 0 0 248 0 0 0 0 0 11 0 0 0 0 254 145 0 0 0 0 141 210 0 0 0 0 4 42 0 0 0 0 0 0 0 0 0 0 248 0 0 0 0 0 0 0 0 207 0 227 0 0 0 148 27 0 0 0 0 151 243 0 0 0 11 254 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 180 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 215 0 0 0 0 0 0 0 0 0 0 252 0 0 0 0 0 108 0 0 0 0 109 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 217 0 0 0 0 0 108 0 0 0 0 0 0 0 0 0 0 252 0 0 0 0 0 0 0 0 0 0 217 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 252 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 253 0 0 0 253 227 253 0 0 0 251 29 74 0 0 252 49 0 0 0 0 42 0 252 0 0 211 0 0 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 252 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 32 0 0 0 0 0 233 0 0 0 0 71 0 0 0 0 0 217 0 0 0 0 170 0 0 0 0 0 225 0 0 0 0 224 0 0 0 0 0 252 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 252 0 0 0 0 0 222 0 0 0 0 252 0 0 0 0 0 252 0 0 0 0 252 0 0 0 0 0 188 0 0 0 0 253 0 0 0 0 16 249 0 0 0 0 252 0 0 0 0 0 253 0 0 0 0 252 0 0 0 0 39 253 0 0 0 0 252 0 0 0 0 111 252 0 0 0 0 252 0 0 0 0 64 228 0 0 0 0 252 0 0 0 0 0 183 0 0 0 0 223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 254 0 0 0 0 253 253 0 0 0 105 215 236 0 0 0 99 0 25 0 0 0 0 56 0 0 0 0 0 83 0 0 0 0 239 0 0 0 0 2 4 0 0 0 0 248 1 0 0 0 0 220 0 0 0 0 0 253 0 0 0 0 0 184 0 0 0 0 0 0 0 0 0 0 228 0 0 0 36 0 11 0 0 243 0 236 0 0 0 44 0 0 0 0 46 1 217 0 0 0 227 114 0 0 0 0 185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 160 0 0 0 0 195 215 0 0 0 0 0 81 0 0 0 0 0 0 0 0 0 0 254 0 0 0 0 0 0 0 0 0 0 254 0 0 0 0 151 254 0 0 0 107 157 175 0 0 0 154 0 254 0 0 52 0 0 0 0 0 0 0 0 0 0 0 0 0 238 0 0 0 0 0 0 0 0 0 0 248 0 0 0 0 9 0 0 0 171 0 110 0 0 0 66 231 0 0 0 0 187 0 0 0 0 38 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 88 177 0 0 0 0 254 31 0 0 0 254 116 0 0 0 0 44 254 0 0 0 0 72 0 0 0 0 0 254 0 0 0 0 254 80 0 0 0 19 254 0 0 0 0 254 167 0 0 0 0 25 242 0 0 0 95 0 0 0 0 0 0 141 0 0 0 0 0 169 0 0 0 0 0 0 0 0 0 0 225 0 0 4 0 23 0 0 0 254 22 220 0 0 0 254 254 0 0 0 0 254 100 0 0 0 30 160 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 255 0 0 0 0 255 255 0 0 0 255 255 0 0 0 0 255 255 0 0 0 255 255 0 0 0 0 191 191 0 0 0 0 255 0 0 0 0 255 0 0 0 0 0 255 0 0 0 0 0 255 0 0 0 0 0 255 0 0 0 0 0 0 0 0 0 0 255 0 0 0 0 64 0 0 0 0 0 255 0 0 0 128 255 0 0 0 0 255 255 0 0 0 255 255 0 0 0 0 255 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 16 0 0 0 0 255 0 0 0 0 193 193 0 0 0 0 20 251 0 0 0 122 0 0 0 0 0 176 5 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 122 0 0 0 0 0 221 0 0 0 0 0 163 0 0 0 0 46 0 0 0 0 0 58 0 0 0 0 0 253 0 0 0 0 0 8 0 0 0 0 2 0 0 0 0 155 253 0 0 0 84 253 0 0 0 0 147 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 179 0 0 0 0 0 144 0 0 0 0 0 0 0 0 0 0 255 0 0 0 0 0 7 0 0 0 0 29 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 170 0 0 0 0 0 140 0 0 0 0 0 0 0 0 0 0 254 0 0 0 0 0 0 0 0 0 0 170 0 0 0 0 0 140 0 0 0 0 42 0 0 0 0 0 196 0 0 0 0 0 0 0 0 0 0 228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 95 0 0 0 0 2 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 38 0 0 0 0 226 0 0 0 0 0 192 0 0 0 0 128 0 0 0 0 0 248 0 0 0 0 34 0 0 0 0 0 253 0 0 0 0 11 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 238 0 0 0 0 7 89 0 0 0 0 253 0 0 0 0 235 147 0 0 0 72 214 5 0 0 0 253 38 0 0 0 249 10 5 0 0 0 56 219 0 0 0 4 3 0 0 0 0 0 253 0 0 0 0 254 221 0 0 0 0 45 32 0 0 0 137 0 0 0 0 0 0 204 0 0 4 0 0 0 0 0 57 0 70 0 0 0 0 4 0 0 0 238 0 189 0 0 0 253 254 0 0 0 0 253 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 236 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 150 0 0 0 0 0 95 0 0 0 0 0 0 0 0 0 0 251 0 0 0 0 0 0 0 0 0 0 250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 222 0 0 0 0 0 0 0 0 0 0 150 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 121 0 0 0 0 249 184 0 0 0 201 253 115 0 0 0 253 212 21 0 0 97 0 211 0 0 0 0 0 253 0 0 0 0 0 171 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 93 0 0 0 0 68 0 0 0 0 0 215 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 240 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 202 253 73 0 0 0 251 251 62 0 0 251 251 251 0 0 0 253 253 253 0 0 217 71 251 25 0 0 51 0 253 0 0 0 0 251 251 0 0 0 0 251 0 0 0 0 42 253 0 0 0 0 251 0 0 0 0 0 253 0 0 0 0 206 0 0 0 0 0 251 0 0 0 0 73 0 0 0 0 0 251 0 0 0 0 0 253 0 0 0 0 251 144 0 0 0 0 251 0 0 0 0 42 253 0 0 0 0 226 10 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 133 13 173 0 0 0 253 254 253 0 0 240 253 253 170 0 0 84 84 84 0 0 0 0 0 253 0 0 0 0 14 0 0 0 0 0 253 0 0 0 0 61 0 0 0 0 0 253 0 0 0 0 140 0 0 0 0 0 254 0 0 0 0 203 0 0 0 0 0 213 0 0 0 0 244 0 0 0 0 0 124 0 0 0 0 248 0 0 0 0 0 104 0 0 0 0 253 0 0 0 0 0 1 0 0 0 0 253 0 0 0 0 0 0 0 0 0
"17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 193 0 0 0 0 162 253 0 0 0 0 122 41 0 0 0 0 252 0 0 0 0 51 0 0 0 0 0 253 0 0 0 0 21 0 0 0 0 0 252 0 0 0 0 0 40 0 0 0 0 253 0 0 0 0 0 123 0 0 0 0 252 0 0 0 0 0 233 0 0 0 0 233 0 0 0 0 0 254 0 0 0 0 183 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 255 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0
